Model,Combination,VidID,Set,CCC
B1-LSTM,A,111_1,Train,0.8904039676272658
B1-LSTM,A,111_3,Train,0.26522652222897986
B1-LSTM,A,111_4,Train,0.5015084940494496
B1-LSTM,A,113_2,Train,0.3056231560760661
B1-LSTM,A,113_3,Train,0.49704019298373286
B1-LSTM,A,113_4,Train,0.7085583970653307
B1-LSTM,A,113_5,Train,0.5079277550924048
B1-LSTM,A,113_6,Train,0.6543616560255131
B1-LSTM,A,114_1,Train,0.6424553769988303
B1-LSTM,A,114_4,Train,0.4997823168186952
B1-LSTM,A,114_5,Train,0.7365199237414374
B1-LSTM,A,114_6,Train,0.9063070423738516
B1-LSTM,A,118_1,Train,0.7483177988635399
B1-LSTM,A,118_3,Train,0.7146023559527038
B1-LSTM,A,118_4,Train,0.6830627769553367
B1-LSTM,A,118_5,Train,0.6399184390594558
B1-LSTM,A,118_6,Train,0.8864856881497977
B1-LSTM,A,119_2,Train,0.519067460517525
B1-LSTM,A,119_4,Train,0.017082426229747833
B1-LSTM,A,119_6,Train,0.6361680768042954
B1-LSTM,A,120_1,Train,0.4845637653775304
B1-LSTM,A,120_2,Train,0.08972342473782181
B1-LSTM,A,120_3,Train,0.8611072631122596
B1-LSTM,A,120_4,Train,0.42780177388306373
B1-LSTM,A,121_1,Train,0.685612521691294
B1-LSTM,A,121_3,Train,0.5724040187190897
B1-LSTM,A,121_5,Train,0.3370672535548346
B1-LSTM,A,121_6,Train,0.5871166238795146
B1-LSTM,A,129_1,Train,0.23160817888064295
B1-LSTM,A,129_2,Train,0.645505060566191
B1-LSTM,A,129_3,Train,0.9121340064922556
B1-LSTM,A,129_4,Train,0.6231075653762127
B1-LSTM,A,129_5,Train,0.547427431699373
B1-LSTM,A,129_6,Train,0.9580700719430215
B1-LSTM,A,129_7,Train,0.2620466036009243
B1-LSTM,A,130_1,Train,0.6893169481790358
B1-LSTM,A,130_2,Train,0.49210109796649326
B1-LSTM,A,130_4,Train,0.8646475954953223
B1-LSTM,A,130_6,Train,0.377502547273234
B1-LSTM,A,135_3,Train,0.9023630819080734
B1-LSTM,A,141_1,Train,0.13984814996693357
B1-LSTM,A,141_6,Train,0.1035187148390883
B1-LSTM,A,142_1,Train,0.3513181840330438
B1-LSTM,A,142_2,Train,-0.08514134816152162
B1-LSTM,A,142_3,Train,0.3281323315271153
B1-LSTM,A,143_3,Train,0.46451547437768775
B1-LSTM,A,143_5,Train,0.8095213683242584
B1-LSTM,A,144_1,Train,0.7410417364318572
B1-LSTM,A,144_3,Train,0.5127853023343584
B1-LSTM,A,147_1,Train,0.06207752395031794
B1-LSTM,A,147_2,Train,0.1672794381938694
B1-LSTM,A,147_3,Train,0.12866273250620333
B1-LSTM,A,147_4,Train,0.30193221574902535
B1-LSTM,A,147_5,Train,0.21301322878480697
B1-LSTM,A,151_2,Train,0.6862716440050076
B1-LSTM,A,151_6,Train,0.8691966244673262
B1-LSTM,A,153_1,Train,0.029149916409684798
B1-LSTM,A,153_2,Train,0.024070275315615307
B1-LSTM,A,153_3,Train,0.26799102132933345
B1-LSTM,A,153_4,Train,0.5947717988570362
B1-LSTM,A,153_5,Train,0.7371007162175546
B1-LSTM,A,153_6,Train,0.6097427913613349
B1-LSTM,A,156_1,Train,0.5627936499373775
B1-LSTM,A,156_2,Train,0.8660699725315559
B1-LSTM,A,156_3,Train,0.07823222036719074
B1-LSTM,A,156_6,Train,0.32809626590793994
B1-LSTM,A,162_2,Train,0.8037963218053061
B1-LSTM,A,162_3,Train,0.1988739941966815
B1-LSTM,A,162_4,Train,0.7955237202552959
B1-LSTM,A,162_5,Train,0.5495266254940875
B1-LSTM,A,162_6,Train,0.5256880631356152
B1-LSTM,A,163_1,Train,-0.045749737980603174
B1-LSTM,A,163_2,Train,0.923774610967801
B1-LSTM,A,163_5,Train,0.39546949664049164
B1-LSTM,A,164_3,Train,0.46410484620362874
B1-LSTM,A,164_4,Train,0.6891689221590735
B1-LSTM,A,164_5,Train,0.22579964539940156
B1-LSTM,A,167_1,Train,0.7076846145130632
B1-LSTM,A,167_2,Train,0.49582311801248563
B1-LSTM,A,169_2,Train,0.7055996914401234
B1-LSTM,A,169_4,Train,0.9045168093097934
B1-LSTM,A,171_1,Train,0.8387412880047626
B1-LSTM,A,171_2,Train,0.4454176346157536
B1-LSTM,A,171_3,Train,0.4185401873581685
B1-LSTM,A,171_4,Train,0.7345260668774947
B1-LSTM,A,171_5,Train,0.8310581932035299
B1-LSTM,A,171_6,Train,0.3869891900582309
B1-LSTM,A,172_1,Train,0.84497532794357
B1-LSTM,A,172_2,Train,0.2625445038104011
B1-LSTM,A,172_3,Train,0.6442475141522714
B1-LSTM,A,172_4,Train,0.8271336765201844
B1-LSTM,A,172_5,Train,0.4845187989673321
B1-LSTM,A,174_1,Train,0.6387710801873575
B1-LSTM,A,174_2,Train,0.15290496168388562
B1-LSTM,A,174_3,Train,0.3601471935400178
B1-LSTM,A,174_5,Train,0.8398967467275038
B1-LSTM,A,174_6,Train,0.7374387841333233
B1-LSTM,A,174_7,Train,0.5903242632032942
B1-LSTM,A,178_1,Train,0.6764357617899599
B1-LSTM,A,178_2,Train,0.6752375111825462
B1-LSTM,A,178_4,Train,0.9648011629302617
B1-LSTM,A,178_5,Train,0.7545078133002642
B1-LSTM,A,178_6,Train,0.11897493291255756
B1-LSTM,A,179_1,Train,0.9622300897892357
B1-LSTM,A,179_3,Train,0.8951182715795359
B1-LSTM,A,179_4,Train,0.626877692053982
B1-LSTM,A,179_5,Train,0.653512313346317
B1-LSTM,A,179_6,Train,0.8803892853473254
