Model,Combination,VidID,Set,CCC
B2-Trans,A,111_1,Train,-0.005837029161705868
B2-Trans,A,111_3,Train,0.08082958084638323
B2-Trans,A,111_4,Train,-0.003949128055313115
B2-Trans,A,113_2,Train,0.0010979199935720995
B2-Trans,A,113_3,Train,-0.008786277165334783
B2-Trans,A,113_4,Train,-0.005653224694271831
B2-Trans,A,113_5,Train,0.00010803578831445826
B2-Trans,A,113_6,Train,-0.007804484566884157
B2-Trans,A,114_1,Train,-0.011833687669824292
B2-Trans,A,114_4,Train,-0.010456567038308249
B2-Trans,A,114_5,Train,0.025439956517905527
B2-Trans,A,114_6,Train,0.01757529987407842
B2-Trans,A,118_1,Train,0.0016186529727593173
B2-Trans,A,118_3,Train,0.0018225958230241152
B2-Trans,A,118_4,Train,-0.01874227240023833
B2-Trans,A,118_5,Train,-0.031052010686576155
B2-Trans,A,118_6,Train,-0.0024839399360136703
B2-Trans,A,119_2,Train,0.020290655379006272
B2-Trans,A,119_4,Train,-0.0005865850803721457
B2-Trans,A,119_6,Train,-0.0022767965742061832
B2-Trans,A,120_1,Train,-0.0001468066080494416
B2-Trans,A,120_2,Train,-0.00036407834283404907
B2-Trans,A,120_3,Train,-0.0033136982699049225
B2-Trans,A,120_4,Train,0.02288421940496091
B2-Trans,A,121_1,Train,-0.050956298842382015
B2-Trans,A,121_3,Train,0.0006260534234839946
B2-Trans,A,121_5,Train,0.007404878891718623
B2-Trans,A,121_6,Train,0.007948126944382952
B2-Trans,A,129_1,Train,-0.0009611645674401863
B2-Trans,A,129_2,Train,0.0017203376031282548
B2-Trans,A,129_3,Train,0.003328706336780325
B2-Trans,A,129_4,Train,0.03962703048670796
B2-Trans,A,129_5,Train,0.00544417052428655
B2-Trans,A,129_6,Train,0.04084039356905778
B2-Trans,A,129_7,Train,-0.007394150771892381
B2-Trans,A,130_1,Train,-0.05298053350588558
B2-Trans,A,130_2,Train,0.003182388218685781
B2-Trans,A,130_4,Train,0.040189162806938426
B2-Trans,A,130_6,Train,-0.04774441395513043
B2-Trans,A,135_3,Train,0.005026432010266249
B2-Trans,A,141_1,Train,-0.045330686169518346
B2-Trans,A,141_6,Train,0.001458096148060383
B2-Trans,A,142_1,Train,0.0002555506034154407
B2-Trans,A,142_2,Train,-0.0034893327848739436
B2-Trans,A,142_3,Train,-0.003554813643695117
B2-Trans,A,143_3,Train,-0.00421944418189758
B2-Trans,A,143_5,Train,-0.02322613660134116
B2-Trans,A,144_1,Train,0.010537232580152614
B2-Trans,A,144_3,Train,0.020431647707874614
B2-Trans,A,147_1,Train,0.012144770369953083
B2-Trans,A,147_2,Train,0.0037120764763279765
B2-Trans,A,147_3,Train,0.0002930675041584325
B2-Trans,A,147_4,Train,-0.009755126601913081
B2-Trans,A,147_5,Train,0.0010097828766092677
B2-Trans,A,151_2,Train,-0.001181118236525825
B2-Trans,A,151_6,Train,-0.0107834766692536
B2-Trans,A,153_1,Train,-0.00045205821518671125
B2-Trans,A,153_2,Train,0.0034026939153153145
B2-Trans,A,153_3,Train,0.013959562133910027
B2-Trans,A,153_4,Train,-0.003408976475565945
B2-Trans,A,153_5,Train,-0.014053184294046762
B2-Trans,A,153_6,Train,0.011137305807959458
B2-Trans,A,156_1,Train,-0.020394122173908916
B2-Trans,A,156_2,Train,-0.0011009750510500922
B2-Trans,A,156_3,Train,-0.005572785017613536
B2-Trans,A,156_6,Train,0.03162084591472012
B2-Trans,A,162_2,Train,0.014836902262539238
B2-Trans,A,162_3,Train,0.007963958519396177
B2-Trans,A,162_4,Train,0.024173897672294033
B2-Trans,A,162_5,Train,0.0015522589012421381
B2-Trans,A,162_6,Train,-0.0011504899734658528
B2-Trans,A,163_1,Train,0.0031522945598046275
B2-Trans,A,163_2,Train,-0.0062619406354686175
B2-Trans,A,163_5,Train,-0.004936376387820208
B2-Trans,A,164_3,Train,0.0008349195018473686
B2-Trans,A,164_4,Train,-0.00834708289891661
B2-Trans,A,164_5,Train,0.02572051502269687
B2-Trans,A,167_1,Train,0.001840538238479258
B2-Trans,A,167_2,Train,0.002970256494481367
B2-Trans,A,169_2,Train,-0.025793570663783728
B2-Trans,A,169_4,Train,0.009847711411564949
B2-Trans,A,171_1,Train,0.000559571276687877
B2-Trans,A,171_2,Train,0.000525519875582531
B2-Trans,A,171_3,Train,0.007890609461726083
B2-Trans,A,171_4,Train,-0.002435983884053819
B2-Trans,A,171_5,Train,-0.04137127960311408
B2-Trans,A,171_6,Train,0.0033967361651660918
B2-Trans,A,172_1,Train,0.00018799524652320343
B2-Trans,A,172_2,Train,-0.003975195362457817
B2-Trans,A,172_3,Train,-0.01791119931624235
B2-Trans,A,172_4,Train,0.00013423455144559465
B2-Trans,A,172_5,Train,0.0005370228333708104
B2-Trans,A,174_1,Train,-0.007082301796668325
B2-Trans,A,174_2,Train,0.007484731285423154
B2-Trans,A,174_3,Train,0.019655510723942726
B2-Trans,A,174_5,Train,-0.001521137197562713
B2-Trans,A,174_6,Train,-8.856247026536218e-05
B2-Trans,A,174_7,Train,0.009549752140833923
B2-Trans,A,178_1,Train,-0.005950556722267748
B2-Trans,A,178_2,Train,-0.013974412233526502
B2-Trans,A,178_4,Train,0.011276196259634556
B2-Trans,A,178_5,Train,0.005239005484429081
B2-Trans,A,178_6,Train,0.008428147870333537
B2-Trans,A,179_1,Train,0.020284937502217302
B2-Trans,A,179_3,Train,0.0156479278972217
B2-Trans,A,179_4,Train,0.000302727477579775
B2-Trans,A,179_5,Train,9.430658417440807e-05
B2-Trans,A,179_6,Train,-0.002112657313510731
B2-Trans,A,180_1,Train,-0.004357682572758642
B2-Trans,A,180_2,Train,0.003284189149572448
B2-Trans,A,180_3,Train,0.08588714274000853
B2-Trans,A,180_4,Train,-0.002235177344383877
B2-Trans,A,180_5,Train,-0.048214818109102185
B2-Trans,A,180_6,Train,-0.013034861891972383
B2-Trans,A,115_2,Valid,0.005101517320541716
B2-Trans,A,115_3,Valid,-0.000784486519522533
B2-Trans,A,115_5,Valid,-0.003384293276883637
B2-Trans,A,115_6,Valid,0.010568818718018333
B2-Trans,A,117_1,Valid,0.020976122455115497
B2-Trans,A,117_2,Valid,0.07168123269231123
B2-Trans,A,117_3,Valid,0.008509907245953604
B2-Trans,A,117_4,Valid,-0.001426957662885826
B2-Trans,A,117_5,Valid,-0.0038384922885284396
B2-Trans,A,117_6,Valid,-0.007461655986464575
B2-Trans,A,124_1,Valid,-0.015420676829381544
B2-Trans,A,124_2,Valid,0.0153659295682049
B2-Trans,A,124_3,Valid,0.006940558938903841
B2-Trans,A,124_6,Valid,0.007682027008130317
B2-Trans,A,128_2,Valid,0.000901508184235872
B2-Trans,A,128_5,Valid,-0.004723413816795017
B2-Trans,A,128_6,Valid,-0.003231321418682066
B2-Trans,A,131_1,Valid,0.0055161669282421544
B2-Trans,A,131_2,Valid,-0.0007021321219792111
B2-Trans,A,131_3,Valid,0.026476793899462853
B2-Trans,A,131_5,Valid,0.02808646624706275
B2-Trans,A,131_6,Valid,0.00010683587596338683
B2-Trans,A,137_1,Valid,0.0025350300170436067
B2-Trans,A,137_2,Valid,0.0008610151109675195
B2-Trans,A,137_4,Valid,0.0007475215930254368
B2-Trans,A,137_5,Valid,-0.0030167948638782243
B2-Trans,A,137_6,Valid,-0.05009564904792835
B2-Trans,A,149_3,Valid,-0.008901444537763379
B2-Trans,A,149_6,Valid,0.002361549998280282
B2-Trans,A,170_2,Valid,0.003579269981432669
B2-Trans,A,170_7,Valid,-0.010239653427597388
B2-Trans,A,173_1,Valid,-0.018867339657326725
B2-Trans,A,173_3,Valid,-0.001636698294785654
B2-Trans,A,173_4,Valid,-0.0265714055579614
B2-Trans,A,173_6,Valid,0.05788999082260189
B2-Trans,A,181_1,Valid,-0.01676721129199348
B2-Trans,A,181_2,Valid,-0.03405214035205059
B2-Trans,A,181_3,Valid,0.033847160101524776
B2-Trans,A,181_4,Valid,-0.0027082382495966072
B2-Trans,A,181_6,Valid,0.007994308131925929
B2-Trans,A,112_1,Test,-0.0007006429088610639
B2-Trans,A,112_2,Test,0.017073808908758998
B2-Trans,A,112_3,Test,0.0068032106924712215
B2-Trans,A,116_1,Test,0.008124990022975419
B2-Trans,A,116_2,Test,0.004866754266887523
B2-Trans,A,116_3,Test,0.04958896381019047
B2-Trans,A,116_4,Test,-0.00206233934672957
B2-Trans,A,116_5,Test,0.02972216298346161
B2-Trans,A,116_6,Test,-0.0001398312038540056
B2-Trans,A,123_1,Test,0.0009862988860414507
B2-Trans,A,123_2,Test,-0.0026496501439101532
B2-Trans,A,123_3,Test,-0.00035272069210228656
B2-Trans,A,123_4,Test,0.013162187790187964
B2-Trans,A,123_5,Test,0.051201341571423246
B2-Trans,A,127_2,Test,-0.08680946442953508
B2-Trans,A,127_3,Test,0.0021399823980493816
B2-Trans,A,127_4,Test,0.0008790751851589393
B2-Trans,A,127_5,Test,0.021691268434482262
B2-Trans,A,127_6,Test,0.008842623899866854
B2-Trans,A,134_1,Test,0.0008504825718245318
B2-Trans,A,134_3,Test,-0.003913367148973687
B2-Trans,A,145_1,Test,-0.020830755337272792
B2-Trans,A,145_2,Test,0.02861114454708821
B2-Trans,A,145_3,Test,-0.007951133644626223
B2-Trans,A,145_4,Test,1.0130654847804893e-05
B2-Trans,A,154_1,Test,0.0037910775840451034
B2-Trans,A,154_4,Test,-0.006852773179850399
B2-Trans,A,154_6,Test,-0.029422206932974215
B2-Trans,A,161_1,Test,-0.012545335326947425
B2-Trans,A,161_3,Test,0.002805861217511735
B2-Trans,A,161_4,Test,0.00023828727749974224
B2-Trans,A,165_1,Test,-0.0033496412554931054
B2-Trans,A,165_2,Test,0.007174973778056414
B2-Trans,A,165_3,Test,0.054653144985624166
B2-Trans,A,165_4,Test,-0.03177871500688095
B2-Trans,A,165_5,Test,-0.010901662769533816
B2-Trans,A,165_6,Test,0.000644221315869076
B2-Trans,A,165_7,Test,-0.0013662000349488174
B2-Trans,A,168_1,Test,0.05980009771847888
B2-Trans,AL,111_1,Train,-0.004830778313341914
B2-Trans,AL,111_3,Train,0.06168453956294993
B2-Trans,AL,111_4,Train,0.027576093011213262
B2-Trans,AL,113_2,Train,0.001576684326169914
B2-Trans,AL,113_3,Train,-0.01873505314342443
B2-Trans,AL,113_4,Train,0.00130073526349584
B2-Trans,AL,113_5,Train,0.0009734974146534959
B2-Trans,AL,113_6,Train,-0.009609665246724604
B2-Trans,AL,114_1,Train,0.007896010655531029
B2-Trans,AL,114_4,Train,0.03413926809294878
B2-Trans,AL,114_5,Train,0.05669398316758087
B2-Trans,AL,114_6,Train,0.03418125072166045
B2-Trans,AL,118_1,Train,-0.0040711581650216605
B2-Trans,AL,118_3,Train,-0.001255128322144785
B2-Trans,AL,118_4,Train,-0.021109293768049694
B2-Trans,AL,118_5,Train,-0.012925057645202265
B2-Trans,AL,118_6,Train,0.05708706335874507
B2-Trans,AL,119_2,Train,-0.00732839648954707
B2-Trans,AL,119_4,Train,-0.003965096174554117
B2-Trans,AL,119_6,Train,-0.0010970146988987387
B2-Trans,AL,120_1,Train,-0.011316766346263068
B2-Trans,AL,120_2,Train,-0.017895043799998792
B2-Trans,AL,120_3,Train,-0.007711511749268355
B2-Trans,AL,120_4,Train,-0.013858811625032948
B2-Trans,AL,121_1,Train,-0.004020087392776709
B2-Trans,AL,121_3,Train,-0.0016672132970008454
B2-Trans,AL,121_5,Train,0.039431082799350155
B2-Trans,AL,121_6,Train,0.0013454460271637501
B2-Trans,AL,129_1,Train,-0.0007389871993828143
B2-Trans,AL,129_2,Train,-0.0010457883284371045
B2-Trans,AL,129_3,Train,-0.0009454091870064613
B2-Trans,AL,129_4,Train,0.026114976524910013
B2-Trans,AL,129_5,Train,-0.07687175297925841
B2-Trans,AL,129_6,Train,0.06833202138572944
B2-Trans,AL,129_7,Train,-0.014581890124808965
B2-Trans,AL,130_1,Train,-0.013654467929027605
B2-Trans,AL,130_2,Train,0.006597150263419893
B2-Trans,AL,130_4,Train,0.0281404030264419
B2-Trans,AL,130_6,Train,-0.06066373574587031
B2-Trans,AL,135_3,Train,0.038893639798520285
B2-Trans,AL,141_1,Train,0.07039408311803588
B2-Trans,AL,141_6,Train,-0.004736207231007984
B2-Trans,AL,142_1,Train,-0.0026836765752126695
B2-Trans,AL,142_2,Train,-0.01241015253693293
B2-Trans,AL,142_3,Train,-0.021058084450143698
B2-Trans,AL,143_3,Train,-0.10835165534528976
B2-Trans,AL,143_5,Train,-0.028422831485402603
B2-Trans,AL,144_1,Train,0.0018569984985371867
B2-Trans,AL,144_3,Train,0.007865885521620448
B2-Trans,AL,147_1,Train,-0.005661686288641278
B2-Trans,AL,147_2,Train,0.0019782848568392305
B2-Trans,AL,147_3,Train,0.008188666958476061
B2-Trans,AL,147_4,Train,-0.00508993498125231
B2-Trans,AL,147_5,Train,0.00857101420051475
B2-Trans,AL,151_2,Train,-0.0004079200362494911
B2-Trans,AL,151_6,Train,0.013774239245230933
B2-Trans,AL,153_1,Train,-0.00318845233212085
B2-Trans,AL,153_2,Train,0.014758042081374045
B2-Trans,AL,153_3,Train,0.010979469388200875
B2-Trans,AL,153_4,Train,-0.0053352285871899816
