Model,Combination,VidID,Set,CCC
B3-MFN,AL,111_1,Train,0.9696421961235575
B3-MFN,AL,111_3,Train,0.8977532974008909
B3-MFN,AL,111_4,Train,0.8721372065276997
B3-MFN,AL,113_2,Train,0.6039101078580645
B3-MFN,AL,113_3,Train,0.9086829353359834
B3-MFN,AL,113_4,Train,0.9500603415686429
B3-MFN,AL,113_5,Train,0.6159473168425379
B3-MFN,AL,113_6,Train,0.9264437420001708
B3-MFN,AL,114_1,Train,0.9707133938782438
B3-MFN,AL,114_4,Train,0.8283783457613172
B3-MFN,AL,114_5,Train,0.7275578776292339
B3-MFN,AL,114_6,Train,0.8109932972459012
B3-MFN,AL,118_1,Train,0.8264247841155484
B3-MFN,AL,118_3,Train,0.9086216243863995
B3-MFN,AL,118_4,Train,0.8765800775806795
B3-MFN,AL,118_5,Train,0.9065983779480429
B3-MFN,AL,118_6,Train,0.7096420007427522
B3-MFN,AL,119_2,Train,0.9619126904253078
B3-MFN,AL,119_4,Train,0.31429939346801
B3-MFN,AL,119_6,Train,0.9618160377743447
B3-MFN,AL,120_1,Train,0.9221232577643761
B3-MFN,AL,120_2,Train,0.9136587887945604
B3-MFN,AL,120_3,Train,0.9732953067126636
B3-MFN,AL,120_4,Train,0.864621395095844
B3-MFN,AL,121_1,Train,0.9420206692612723
B3-MFN,AL,121_3,Train,0.9470098111458991
B3-MFN,AL,121_5,Train,0.8526420168608361
B3-MFN,AL,121_6,Train,0.97936020883212
B3-MFN,AL,129_1,Train,0.5932708163194907
B3-MFN,AL,129_2,Train,0.8414885784918713
B3-MFN,AL,129_3,Train,0.886650864658568
B3-MFN,AL,129_4,Train,0.9681164008889686
B3-MFN,AL,129_5,Train,0.904494046709825
B3-MFN,AL,129_6,Train,0.8848616036702035
B3-MFN,AL,129_7,Train,0.935338636186721
B3-MFN,AL,130_1,Train,0.8919290770373772
B3-MFN,AL,130_2,Train,0.8962659375230995
B3-MFN,AL,130_4,Train,0.9272077120250157
B3-MFN,AL,130_6,Train,0.773518899316651
B3-MFN,AL,135_3,Train,0.9633667683631414
B3-MFN,AL,141_1,Train,0.944084820450001
B3-MFN,AL,141_6,Train,0.8926660987177146
B3-MFN,AL,142_1,Train,0.8302032186059829
B3-MFN,AL,142_2,Train,0.9314769994701235
B3-MFN,AL,142_3,Train,0.8654434795369791
B3-MFN,AL,143_3,Train,0.9535813645102168
B3-MFN,AL,143_5,Train,0.9468096998674018
B3-MFN,AL,144_1,Train,0.8687406742323726
B3-MFN,AL,144_3,Train,0.9444130646957255
B3-MFN,AL,147_1,Train,0.7013565214111113
B3-MFN,AL,147_2,Train,0.7508023535742852
B3-MFN,AL,147_3,Train,0.856795639971215
B3-MFN,AL,147_4,Train,0.9728985375388641
B3-MFN,AL,147_5,Train,0.8554870758722771
B3-MFN,AL,151_2,Train,0.8893058083129725
B3-MFN,AL,151_6,Train,0.9305845632199323
B3-MFN,AL,153_1,Train,0.961203629417453
B3-MFN,AL,153_2,Train,0.839083017510608
B3-MFN,AL,153_3,Train,0.8718866068092218
B3-MFN,AL,153_4,Train,0.8571503602720328
B3-MFN,AL,153_5,Train,0.9085712980631531
B3-MFN,AL,153_6,Train,0.9172986688795004
B3-MFN,AL,156_1,Train,0.8037735352329093
B3-MFN,AL,156_2,Train,0.8667997051191668
B3-MFN,AL,156_3,Train,0.907484744434129
B3-MFN,AL,156_6,Train,0.8230757347597596
B3-MFN,AL,162_2,Train,0.931614171658251
B3-MFN,AL,162_3,Train,0.9632907418685638
B3-MFN,AL,162_4,Train,0.935120800398723
B3-MFN,AL,162_5,Train,0.6949323178160454
B3-MFN,AL,162_6,Train,0.9233891875543213
B3-MFN,AL,163_1,Train,0.8537035548141232
B3-MFN,AL,163_2,Train,0.9496536900217663
B3-MFN,AL,163_5,Train,0.965529231923383
B3-MFN,AL,164_3,Train,0.9198647533152905
B3-MFN,AL,164_4,Train,0.6498778863564156
B3-MFN,AL,164_5,Train,0.8759595053414864
B3-MFN,AL,167_1,Train,0.9730468084377418
B3-MFN,AL,167_2,Train,0.9374750790100482
B3-MFN,AL,169_2,Train,0.9598764000288189
B3-MFN,AL,169_4,Train,0.9403707978082172
B3-MFN,AL,171_1,Train,0.8134258219378137
B3-MFN,AL,171_2,Train,0.766627833580086
B3-MFN,AL,171_3,Train,0.8266600156929269
B3-MFN,AL,171_4,Train,0.9731759072416809
B3-MFN,AL,171_5,Train,0.862941793291801
B3-MFN,AL,171_6,Train,0.9443426917092778
B3-MFN,AL,172_1,Train,0.9577050981909545
B3-MFN,AL,172_2,Train,0.9603408251533962
B3-MFN,AL,172_3,Train,0.9419377413165536
B3-MFN,AL,172_4,Train,0.7760275268088036
B3-MFN,AL,172_5,Train,0.8675312166602589
B3-MFN,AL,174_1,Train,0.9294417443275625
B3-MFN,AL,174_2,Train,0.9026259972376289
B3-MFN,AL,174_3,Train,0.8854072172840922
B3-MFN,AL,174_5,Train,0.8684614218022126
B3-MFN,AL,174_6,Train,0.9544049414845998
B3-MFN,AL,174_7,Train,0.9156473603493971
B3-MFN,AL,178_1,Train,0.9476336742343449
B3-MFN,AL,178_2,Train,0.8713723600684334
B3-MFN,AL,178_4,Train,0.9682430322948148
B3-MFN,AL,178_5,Train,0.9478820915534056
B3-MFN,AL,178_6,Train,0.8723359560915604
B3-MFN,AL,179_1,Train,0.9733925035548248
B3-MFN,AL,179_3,Train,0.9239871752178775
B3-MFN,AL,179_4,Train,0.9098999076378133
B3-MFN,AL,179_5,Train,0.912957034729032
B3-MFN,AL,179_6,Train,0.9539183232899259
B3-MFN,AL,180_1,Train,0.8745657785378697
B3-MFN,AL,180_2,Train,0.9558622925099654
B3-MFN,AL,180_3,Train,0.9609502135862353
B3-MFN,AL,180_4,Train,0.9198930529395882
B3-MFN,AL,180_5,Train,0.916377272451796
B3-MFN,AL,180_6,Train,0.9332199200060561
B3-MFN,AL,115_2,Valid,-0.03615879751157255
B3-MFN,AL,115_3,Valid,0.10600137512912054
B3-MFN,AL,115_5,Valid,0.012145984917855972
