Model,Combination,VidID,Set,CCC
MFT-44,AL,111_1,Train,0.9667634416323083
MFT-44,AL,111_3,Train,0.6331785960186689
MFT-44,AL,111_4,Train,0.3946091281799539
MFT-44,AL,113_2,Train,0.9367180313392746
MFT-44,AL,113_3,Train,0.9839896885440395
MFT-44,AL,113_4,Train,0.9503190305846919
MFT-44,AL,113_5,Train,0.643844395378536
MFT-44,AL,113_6,Train,0.7052535612096955
MFT-44,AL,114_1,Train,0.977394710724322
MFT-44,AL,114_4,Train,0.5281545360060109
MFT-44,AL,114_5,Train,0.7718238947428582
MFT-44,AL,114_6,Train,0.7016195155463866
MFT-44,AL,118_1,Train,0.793995632987837
MFT-44,AL,118_3,Train,0.922844202709614
MFT-44,AL,118_4,Train,0.47605366182659714
MFT-44,AL,118_5,Train,0.780292603810276
MFT-44,AL,118_6,Train,0.9459112824337489
MFT-44,AL,119_2,Train,0.6348097493119714
MFT-44,AL,119_4,Train,0.6682752076652487
MFT-44,AL,119_6,Train,0.972975422461079
MFT-44,AL,120_1,Train,0.9082136056082265
MFT-44,AL,120_2,Train,0.870095390189429
MFT-44,AL,120_3,Train,0.969425559397348
MFT-44,AL,120_4,Train,0.5893793147162155
MFT-44,AL,121_1,Train,0.6024484180408819
MFT-44,AL,121_3,Train,0.9242689178517304
MFT-44,AL,121_5,Train,0.814214543883451
MFT-44,AL,121_6,Train,0.8892105693501073
MFT-44,AL,129_1,Train,0.6963540114267325
MFT-44,AL,129_2,Train,0.8875592674299538
MFT-44,AL,129_3,Train,0.9561872292330167
MFT-44,AL,129_4,Train,0.7770113450885668
MFT-44,AL,129_5,Train,0.9474024440795689
MFT-44,AL,129_6,Train,0.791959080994397
MFT-44,AL,129_7,Train,0.8090162493391307
MFT-44,AL,130_1,Train,0.6074913158682552
MFT-44,AL,130_2,Train,0.8701535993418309
MFT-44,AL,130_4,Train,0.6853556246461718
MFT-44,AL,130_6,Train,0.32332309273061355
MFT-44,AL,135_3,Train,0.7542619225776241
MFT-44,AL,141_1,Train,0.8111280000050116
