Model,Combination,VidID,Set,CCC
MFT,AL,111_1,Train,0.9626836489003658
MFT,AL,111_3,Train,0.8205128441607215
MFT,AL,111_4,Train,0.7618461772395713
MFT,AL,113_2,Train,0.9159682177484363
MFT,AL,113_3,Train,0.9503181286450179
MFT,AL,113_4,Train,0.8475842537765446
MFT,AL,113_5,Train,0.6601318420161478
MFT,AL,113_6,Train,0.9518106830073237
MFT,AL,114_1,Train,0.9618927536524309
MFT,AL,114_4,Train,0.6605453197734682
MFT,AL,114_5,Train,0.8841985331169677
MFT,AL,114_6,Train,0.925761233188644
MFT,AL,118_1,Train,0.6087857531689379
MFT,AL,118_3,Train,0.7825179294387858
MFT,AL,118_4,Train,0.6284941184357694
MFT,AL,118_5,Train,0.8501421266173386
MFT,AL,118_6,Train,0.8376293237410021
MFT,AL,119_2,Train,0.651346123866314
MFT,AL,119_4,Train,0.07297243991259185
MFT,AL,119_6,Train,0.9285805072033723
MFT,AL,120_1,Train,0.8710837442767558
MFT,AL,120_2,Train,0.9035127084103317
MFT,AL,120_3,Train,0.9363294988769315
MFT,AL,120_4,Train,0.7512489401252563
MFT,AL,121_1,Train,0.6466717762487919
MFT,AL,121_3,Train,0.8772950334523486
MFT,AL,121_5,Train,0.7603719123619643
MFT,AL,121_6,Train,0.9182672738741777
MFT,AL,129_1,Train,0.31279453260508827
MFT,AL,129_2,Train,0.7276796067995677
MFT,AL,129_3,Train,0.9402366897504265
MFT,AL,129_4,Train,0.8472545231559051
MFT,AL,129_5,Train,0.9587807261339202
MFT,AL,129_6,Train,0.9678715043089388
MFT,AL,129_7,Train,0.8001058451660903
MFT,AL,130_1,Train,0.8068159814640319
MFT,AL,130_2,Train,0.8892401246648299
MFT,AL,130_4,Train,0.951976596530999
MFT,AL,130_6,Train,0.29831806168177394
MFT,AL,135_3,Train,0.944263163511545
MFT,AL,141_1,Train,0.7682538923314726
MFT,AL,141_6,Train,0.50407566025861
MFT,AL,142_1,Train,0.8917190125366865
MFT,AL,142_2,Train,0.9601819281611766
MFT,AL,142_3,Train,0.9500161696866714
MFT,AL,143_3,Train,0.6226454997629262
MFT,AL,143_5,Train,0.9179280834693477
MFT,AL,144_1,Train,0.8202764566379589
MFT,AL,144_3,Train,0.882441209014142
MFT,AL,147_1,Train,0.32683694683500897
MFT,AL,147_2,Train,0.8405533503141233
MFT,AL,147_3,Train,0.5866719489942662
MFT,AL,147_4,Train,0.7908013065847053
MFT,AL,147_5,Train,0.895531114665413
MFT,AL,151_2,Train,0.8876957013357407
MFT,AL,151_6,Train,0.8107242944662478
MFT,AL,153_1,Train,0.9619441409610072
MFT,AL,153_2,Train,0.6256543061920112
MFT,AL,153_3,Train,0.9414434181601978
MFT,AL,153_4,Train,0.762226596377548
MFT,AL,153_5,Train,0.8059423821922397
MFT,AL,153_6,Train,0.8273755812230216
MFT,AL,156_1,Train,0.8651425690960937
MFT,AL,156_2,Train,0.8279286530007686
MFT,AL,156_3,Train,0.5808046472403527
MFT,AL,156_6,Train,0.5757218624447142
MFT,AL,162_2,Train,0.9107005810517289
MFT,AL,162_3,Train,0.8567946212948828
MFT,AL,162_4,Train,0.7060806869924557
MFT,AL,162_5,Train,0.7185268426971236
MFT,AL,162_6,Train,0.8376402493711932
MFT,AL,163_1,Train,0.8323291522403702
MFT,AL,163_2,Train,0.8596874302996413
MFT,AL,163_5,Train,0.9546016255560558
MFT,AL,164_3,Train,0.4104499292483688
MFT,AL,164_4,Train,0.6689192480211598
