Model,Combination,VidID,Set,CCC
SFT,A,111_1,Train,0.48834934542890107
SFT,A,111_3,Train,-0.05757064573876506
SFT,A,111_4,Train,-0.06325198675221971
SFT,A,113_2,Train,0.742227425340315
SFT,A,113_3,Train,-0.26249170929118837
SFT,A,113_4,Train,0.39069444763978595
SFT,A,113_5,Train,0.7451053129528628
SFT,A,113_6,Train,-0.15009300725324748
SFT,A,114_1,Train,0.04635366807749073
SFT,A,114_4,Train,-0.05741851666298758
SFT,A,114_5,Train,-0.06382281662939426
SFT,A,114_6,Train,-0.05232502678860967
SFT,A,118_1,Train,0.6146928394270277
SFT,A,118_3,Train,0.7915691289774464
SFT,A,118_4,Train,-0.12385942308149005
SFT,A,118_5,Train,-0.11558153184070918
SFT,A,118_6,Train,-0.07393026989841045
SFT,A,119_2,Train,-0.493735239958836
SFT,A,119_4,Train,0.050522948253269785
SFT,A,119_6,Train,-0.10204911170731482
SFT,A,120_1,Train,0.20263308482682718
SFT,A,120_2,Train,0.30140906819234065
SFT,A,120_3,Train,0.3560240322191207
SFT,A,120_4,Train,-0.038428222623195896
SFT,A,121_1,Train,-0.10887962752031793
SFT,A,121_3,Train,0.47210326593216995
SFT,A,121_5,Train,0.06543600784664247
SFT,A,121_6,Train,-0.08660748528746263
SFT,A,129_1,Train,0.32912846613683394
SFT,A,129_2,Train,0.9033687161852738
SFT,A,129_3,Train,0.29836337813909586
SFT,A,129_4,Train,-0.12728354388201416
SFT,A,129_5,Train,0.433340122446155
SFT,A,129_6,Train,-0.4116906691430906
SFT,A,129_7,Train,-0.0985244161079314
SFT,A,130_1,Train,0.16574496712886932
SFT,A,130_2,Train,0.3272384740664911
SFT,A,130_4,Train,-0.09644509386976625
SFT,A,130_6,Train,-0.11722998106962278
SFT,A,135_3,Train,-0.039974281026080576
SFT,A,141_1,Train,-0.0960162361639457
SFT,A,141_6,Train,-0.21023179697866534
SFT,A,142_1,Train,0.8355646556613896
SFT,A,142_2,Train,0.9753059057591458
SFT,A,142_3,Train,0.11855066637401054
SFT,A,143_3,Train,-0.30239158757296747
SFT,A,143_5,Train,-0.11143138358559566
SFT,A,144_1,Train,-0.09625569278252778
SFT,A,144_3,Train,-0.05521650025766098
SFT,A,147_1,Train,-0.028721490263213093
SFT,A,147_2,Train,0.6465257890464614
SFT,A,147_3,Train,0.12706948014625474
SFT,A,147_4,Train,-0.11423472576645129
SFT,A,147_5,Train,-0.07429842387181486
SFT,A,151_2,Train,0.7667119718768195
SFT,A,151_6,Train,-0.17982012084585527
SFT,A,153_1,Train,0.9193383048228632
SFT,A,153_2,Train,0.018593616211648598
SFT,A,153_3,Train,0.9699280045026715
SFT,A,153_4,Train,0.5276109041977045
SFT,A,153_5,Train,0.07836211790254508
SFT,A,153_6,Train,-0.12551851700797542
SFT,A,156_1,Train,-0.05597600708196355
SFT,A,156_2,Train,0.4344253481094729
SFT,A,156_3,Train,0.5190211551747593
SFT,A,156_6,Train,0.20937189105393889
SFT,A,162_2,Train,-0.30358401212234276
SFT,A,162_3,Train,-0.08184381137979847
SFT,A,162_4,Train,-0.0012418412421391447
SFT,A,162_5,Train,0.6436227236986527
SFT,A,162_6,Train,0.14679976113599455
SFT,A,163_1,Train,0.1616193394098661
SFT,A,163_2,Train,0.8910081682109423
SFT,A,163_5,Train,0.2387440530579749
SFT,A,164_3,Train,0.36663630574973105
SFT,A,164_4,Train,0.041025398203641074
SFT,A,164_5,Train,-0.024935309811477943
SFT,A,167_1,Train,0.5360444523405199
SFT,A,167_2,Train,0.9004895068775822
SFT,A,169_2,Train,-0.23374989918636516
SFT,A,169_4,Train,-0.1819289040011924
SFT,A,171_1,Train,0.0047764828407389675
SFT,A,171_2,Train,0.7193091077554152
SFT,A,171_3,Train,0.03757545044678212
SFT,A,171_4,Train,0.497572282415893
SFT,A,171_5,Train,0.019034356678680833
SFT,A,171_6,Train,0.8212547008746635
SFT,A,172_1,Train,-0.12997725425441073
SFT,A,172_2,Train,0.006824221078696919
SFT,A,172_3,Train,-0.12742421370199672
SFT,A,172_4,Train,0.7777444004338406
SFT,A,172_5,Train,0.5673876394553523
SFT,A,174_1,Train,-0.12019561683861629
SFT,A,174_2,Train,-0.020478124767148876
SFT,A,174_3,Train,-0.06336719302598652
SFT,A,174_5,Train,0.23539637626674514
SFT,A,174_6,Train,0.8164517944854592
SFT,A,174_7,Train,-0.10088293421288726
SFT,A,178_1,Train,0.5304580800145853
SFT,A,178_2,Train,0.5343357264194892
SFT,A,178_4,Train,-0.05127690862623639
SFT,A,178_5,Train,-0.03732441802161472
SFT,A,178_6,Train,-0.09544857191553109
SFT,A,179_1,Train,0.13094211180206114
SFT,A,179_3,Train,-0.09395518524132601
SFT,A,179_4,Train,0.7057715600242923
SFT,A,179_5,Train,0.8692030642178634
SFT,A,179_6,Train,0.48920191816495484
SFT,A,180_1,Train,0.7001024281765325
SFT,A,180_2,Train,0.3771008130182117
SFT,A,180_3,Train,-0.15562508594977234
SFT,A,180_4,Train,0.16278037159548533
SFT,A,180_5,Train,-0.05369468770093958
SFT,A,180_6,Train,-0.009966801039864194
SFT,A,115_2,Valid,0.3187598050885652
SFT,A,115_3,Valid,0.1823606342206011
SFT,A,115_5,Valid,0.4922453998809053
SFT,A,115_6,Valid,0.13806340133798697
SFT,A,117_1,Valid,-0.0765625656170431
SFT,A,117_2,Valid,-0.09199670401284152
SFT,A,117_3,Valid,-0.04099406727439783
SFT,A,117_4,Valid,-0.3956647654837314
SFT,A,117_5,Valid,0.7244715502409402
SFT,A,117_6,Valid,0.6525190557383617
SFT,A,124_1,Valid,0.1915591509908686
SFT,A,124_2,Valid,0.1761801233889127
SFT,A,124_3,Valid,-0.020665932671868552
SFT,A,124_6,Valid,-0.14997271500729434
SFT,A,128_2,Valid,0.8608796989381006
SFT,A,128_5,Valid,-0.14226573177558416
SFT,A,128_6,Valid,-0.27432801888358505
SFT,A,131_1,Valid,-0.01955920366736214
SFT,A,131_2,Valid,0.7513031563395265
SFT,A,131_3,Valid,-0.055115102336209136
SFT,A,131_5,Valid,-0.10796585325590806
SFT,A,131_6,Valid,-0.08690593209069791
SFT,A,137_1,Valid,0.6785204812484056
SFT,A,137_2,Valid,0.6740884980618946
SFT,A,137_4,Valid,-0.2966100985894629
SFT,A,137_5,Valid,0.04214568568886881
SFT,A,137_6,Valid,-0.045646821464274234
SFT,A,149_3,Valid,-0.18141368074374734
SFT,A,149_6,Valid,0.5256270201227337
SFT,A,170_2,Valid,0.7105906217754181
SFT,A,170_7,Valid,-0.10556812721267625
SFT,A,173_1,Valid,-0.062033985769607496
SFT,A,173_3,Valid,-0.148542992050031
SFT,A,173_4,Valid,0.05165815456305943
SFT,A,173_6,Valid,-0.13652198289669565
SFT,A,181_1,Valid,-0.12311996897386736
SFT,A,181_2,Valid,0.32252242330134506
SFT,A,181_3,Valid,0.08178024842910109
SFT,A,181_4,Valid,0.29996948047424626
SFT,A,181_6,Valid,0.5705302442071076
SFT,A,112_1,Test,0.9390820199119881
SFT,A,112_2,Test,0.01457149583801818
SFT,A,112_3,Test,-0.2282870131450265
SFT,A,116_1,Test,-0.4143723134744496
SFT,A,116_2,Test,0.7580734178056016
SFT,A,116_3,Test,-0.2733640359013275
SFT,A,116_4,Test,0.535384197265783
SFT,A,116_5,Test,-0.024574329589707816
SFT,A,116_6,Test,-0.5544373365958734
SFT,A,123_1,Test,0.045887677429988574
SFT,A,123_2,Test,-0.09023496277058116
SFT,A,123_3,Test,0.4638748745018409
SFT,A,123_4,Test,-0.048972459525050326
SFT,A,123_5,Test,-0.07763153157094206
SFT,A,127_2,Test,-0.038895997153347295
SFT,A,127_3,Test,0.3015935046249129
SFT,A,127_4,Test,0.7346818638954112
SFT,A,127_5,Test,-0.08971601567639066
SFT,A,127_6,Test,-0.06100293130491408
SFT,A,134_1,Test,0.7875990592248714
SFT,A,134_3,Test,0.2873399670514226
SFT,A,145_1,Test,-0.06053047115047615
SFT,A,145_2,Test,-0.07847450171579178
SFT,A,145_3,Test,-0.022457282185135145
SFT,A,145_4,Test,0.7972012195509602
SFT,A,154_1,Test,-0.233505949142076
SFT,A,154_4,Test,-0.2990542769861701
SFT,A,154_6,Test,-0.17555465418892538
SFT,A,161_1,Test,-0.06386172678214293
SFT,A,161_3,Test,-0.055842814416643204
SFT,A,161_4,Test,0.8309220270165066
SFT,A,165_1,Test,0.053662595505942545
SFT,A,165_2,Test,0.41916288513503985
SFT,A,165_3,Test,-0.12004154904218364
SFT,A,165_4,Test,-0.04079265564890109
SFT,A,165_5,Test,-0.132025896112626
SFT,A,165_6,Test,0.6719103840023255
SFT,A,165_7,Test,0.69686745724355
SFT,A,168_1,Test,-0.08879655604832434
SFT,AL,111_1,Train,0.13810101472066114
SFT,AL,111_3,Train,-0.013947190482403355
SFT,AL,111_4,Train,-0.035450452999856684
SFT,AL,113_2,Train,0.38832689405370313
SFT,AL,113_3,Train,-0.07578373352288699
SFT,AL,113_4,Train,0.07014551289804026
SFT,AL,113_5,Train,0.5858751654493898
SFT,AL,113_6,Train,-0.0343000669201101
SFT,AL,114_1,Train,-0.010897547496249113
SFT,AL,114_4,Train,-0.009697457870867527
SFT,AL,114_5,Train,-0.008534962875652941
SFT,AL,114_6,Train,-0.011460193422286298
SFT,AL,118_1,Train,0.2264675876826687
SFT,AL,118_3,Train,0.16329363113711912
SFT,AL,118_4,Train,-0.01093259685992828
SFT,AL,118_5,Train,-0.0491655642083774
SFT,AL,118_6,Train,-0.013666933753725642
SFT,AL,119_2,Train,-0.007830121824019657
